NodoId, Grado
0,492
1,523
2,521
3,514
4,491
5,512
6,506
7,485
8,492
800,491
9,477
801,497
802,491
803,503
804,520
805,484
806,540
807,488
808,501
809,517
810,515
811,503
812,494
813,512
814,495
815,488
816,482
817,513
818,503
819,485
820,499
821,484
822,523
823,522
824,500
825,474
826,509
827,509
828,484
829,507
830,470
831,506
832,490
833,498
834,481
835,517
836,485
837,499
838,510
839,492
840,479
841,509
600,496
842,502
601,518
843,524
602,486
844,492
603,496
845,496
604,478
846,533
605,516
847,518
606,493
848,510
607,525
849,486
608,516
609,523
850,469
851,518
610,491
852,488
611,524
853,483
612,513
854,525
613,486
855,500
614,480
856,508
615,493
857,518
616,500
858,484
617,485
859,492
618,501
619,511
860,499
861,497
620,508
862,496
621,504
863,477
622,526
864,489
623,499
865,493
624,537
866,493
625,495
867,508
626,501
868,471
627,527
869,484
628,532
629,501
870,521
871,504
630,504
872,511
631,493
873,487
632,520
874,488
633,503
875,503
634,520
876,502
635,490
877,543
636,523
878,483
637,491
879,470
638,501
639,480
880,527
881,463
640,505
882,477
641,490
883,498
400,483
642,516
884,496
401,497
643,481
885,493
402,497
644,462
886,503
403,498
645,473
887,503
404,506
646,485
888,541
405,511
647,503
889,501
406,475
648,510
407,494
649,493
408,509
409,488
890,541
891,510
650,491
892,499
651,491
893,476
410,488
652,497
894,501
411,515
653,475
895,505
412,521
654,492
896,502
413,488
655,525
897,483
414,494
656,477
898,545
415,501
657,491
899,512
416,494
658,516
417,488
659,506
418,491
419,478
660,480
661,499
420,487
662,515
421,487
663,494
422,539
664,492
423,504
665,503
424,478
666,503
425,475
667,470
426,464
668,531
427,504
669,499
428,504
429,520
670,501
671,499
430,498
672,469
431,509
673,521
432,523
674,519
433,468
675,489
434,508
676,485
435,458
677,482
436,512
678,486
437,513
679,511
438,516
439,488
680,516
681,535
440,492
682,472
441,494
683,466
200,516
442,523
684,504
201,503
443,506
685,500
202,467
444,498
686,535
203,492
445,503
687,470
204,487
446,499
688,492
205,506
447,528
689,499
206,495
448,494
207,513
449,496
208,476
209,488
690,503
691,515
450,530
692,461
451,507
693,509
210,511
452,483
694,484
211,505
453,543
695,492
212,508
454,508
696,521
213,526
455,528
697,488
214,495
456,501
698,495
215,480
457,513
699,493
216,517
458,493
217,495
459,493
218,477
219,482
460,522
461,506
220,494
462,475
221,499
463,493
222,505
464,486
223,489
465,499
224,464
466,498
225,480
467,518
226,497
468,482
227,507
469,504
228,473
229,507
470,531
471,538
230,492
472,531
231,501
473,482
232,489
474,490
233,494
475,489
234,487
476,509
235,492
477,487
236,494
478,504
237,486
479,529
238,512
239,515
480,480
481,510
240,496
482,507
241,513
483,500
242,477
484,480
243,525
485,497
244,498
486,495
245,499
487,499
246,508
488,492
247,514
489,483
248,520
249,470
490,469
491,481
250,512
492,497
251,508
493,500
252,514
494,509
253,478
495,503
254,494
496,485
255,487
497,512
256,526
498,496
257,488
499,482
258,498
259,511
260,484
261,505
262,491
263,499
264,494
265,535
266,504
267,499
268,526
269,502
270,501
271,488
272,482
273,504
274,496
275,501
276,520
277,508
278,516
279,479
280,514
281,496
282,499
283,495
284,504
285,513
286,496
287,499
288,517
289,494
290,478
291,499
292,499
293,507
294,478
295,499
296,497
297,491
298,508
299,481
900,524
901,481
902,517
903,503
904,513
905,474
906,501
907,488
908,488
909,525
910,512
911,529
912,528
913,478
914,490
915,487
916,471
917,519
918,493
919,489
920,507
921,539
922,491
923,489
924,516
925,486
926,529
927,505
928,532
929,490
930,481
931,507
932,511
933,487
934,496
935,482
936,512
937,512
938,492
939,500
940,507
941,467
700,512
942,490
701,488
943,509
702,505
944,493
703,523
945,482
704,499
946,474
705,489
947,470
706,501
948,529
707,490
949,516
708,516
709,484
950,510
951,519
710,495
952,471
711,511
953,503
712,501
954,500
713,510
955,506
714,494
956,482
715,501
957,527
716,512
958,502
717,513
959,496
718,514
719,498
960,509
961,507
720,482
962,485
721,514
963,503
722,480
964,495
723,500
965,486
724,499
966,490
725,475
967,519
726,491
968,482
727,495
969,527
728,519
729,522
970,504
971,502
730,494
972,528
731,503
973,496
732,494
974,527
733,504
975,521
734,510
976,499
735,505
977,479
736,481
978,493
737,507
979,504
738,520
739,501
980,494
981,477
740,510
982,503
741,502
983,507
500,495
742,467
984,476
501,505
743,483
985,501
502,507
744,493
986,484
503,531
745,477
987,494
504,514
746,494
988,492
505,526
747,498
989,512
506,498
748,504
507,497
749,519
508,498
509,488
990,481
991,502
750,488
992,497
751,497
993,496
510,513
752,486
994,488
511,473
753,514
995,516
512,508
754,493
996,483
513,494
755,477
997,512
514,498
756,499
998,499
515,478
757,503
999,476
516,497
758,491
517,521
759,484
518,470
519,481
760,490
761,536
520,486
762,520
521,507
763,521
522,486
764,525
523,504
765,460
524,505
766,506
525,493
767,495
526,488
768,477
527,498
769,496
528,495
529,495
770,505
771,511
530,499
772,478
531,485
773,494
532,494
774,475
533,479
775,475
534,474
776,503
535,494
777,489
536,510
778,496
537,516
779,525
538,475
539,484
780,499
781,487
540,513
782,511
541,513
783,481
300,519
542,519
784,508
301,497
543,543
785,484
302,498
544,505
786,486
303,512
545,476
787,484
304,513
546,470
788,508
305,515
547,508
789,496
306,514
548,492
307,521
549,478
308,486
309,507
790,477
791,506
550,506
792,496
551,503
793,510
310,497
552,520
794,501
311,492
553,493
795,513
312,481
554,514
796,506
313,507
555,503
797,510
314,492
556,496
798,478
315,484
557,488
799,499
316,472
558,504
317,485
559,480
318,472
319,512
560,515
561,508
320,507
562,508
321,488
563,488
322,490
564,497
323,507
565,531
324,468
566,492
325,506
567,489
326,511
568,515
327,501
569,480
328,507
329,519
570,525
571,528
330,489
572,493
331,517
573,486
332,503
574,496
333,502
575,498
334,501
576,526
335,496
577,495
336,519
578,477
337,505
579,514
338,496
339,486
580,515
581,506
340,471
582,489
341,521
583,494
100,520
342,497
584,491
101,501
343,508
585,495
102,495
344,508
586,513
103,467
345,490
587,512
104,487
346,514
588,492
105,492
347,513
589,515
106,483
348,523
107,501
349,489
108,502
109,481
590,496
591,521
350,488
592,492
351,508
593,494
110,490
352,512
594,513
111,479
353,499
595,498
112,504
354,508
596,513
113,514
355,504
597,524
114,501
356,508
598,494
115,512
357,495
599,515
116,509
358,480
117,515
359,518
118,523
119,509
10,525
11,517
12,510
13,513
14,502
15,508
16,510
17,520
18,504
19,498
360,503
361,521
120,494
362,481
121,523
363,480
122,491
364,509
123,476
365,491
124,456
366,519
125,510
367,500
126,483
368,488
127,484
369,492
128,494
129,527
20,512
21,485
22,478
23,490
24,526
25,472
26,492
27,484
28,512
29,523
370,516
371,494
130,496
372,484
131,493
373,506
132,503
374,521
133,495
375,491
134,514
376,506
135,496
377,490
136,517
378,490
137,478
379,507
138,515
139,494
30,491
31,509
32,488
33,489
34,489
35,506
36,507
37,499
38,490
39,485
380,512
381,501
140,510
382,499
141,490
383,524
142,500
384,511
143,477
385,474
144,493
386,481
145,492
387,490
146,482
388,504
147,463
389,496
148,489
149,493
40,510
41,501
42,521
43,509
44,485
45,483
46,498
47,478
48,491
49,484
390,512
391,483
150,488
392,542
151,503
393,518
152,502
394,515
153,481
395,483
154,515
396,454
155,505
397,490
156,533
398,506
157,540
399,493
158,503
159,520
50,526
51,515
52,490
53,505
54,488
55,487
56,510
57,517
58,503
59,500
160,498
161,496
162,498
163,503
164,492
165,493
166,494
167,488
168,520
169,469
60,494
61,470
62,520
63,533
64,478
65,504
66,488
67,470
68,488
69,545
170,506
171,491
172,538
173,497
174,531
175,497
176,502
177,507
178,506
179,507
70,496
71,492
72,510
73,503
74,510
75,517
76,507
77,480
78,514
79,505
180,487
181,518
182,507
183,522
184,489
185,499
186,480
187,483
188,481
189,487
80,503
81,487
82,504
83,465
84,509
85,499
86,503
87,546
88,483
89,521
190,519
191,473
192,501
193,529
194,521
195,514
196,512
197,514
198,505
199,517
90,490
91,485
92,504
93,503
94,484
95,506
96,474
97,518
98,508
99,524
