NodoId, Grado
2,46
3,10
4,73
5,18
6,31
7,29
8,10
800,2
9,48
801,2
802,2
803,2
804,2
805,2
806,3
807,2
808,2
809,3
1000,2
810,2
811,3
812,2
813,2
814,3
815,3
816,2
817,2
818,3
819,2
1003,2
820,2
1002,2
821,2
1001,2
822,3
823,2
824,2
825,2
826,2
827,2
828,2
829,3
830,2
831,2
832,2
833,2
834,2
835,3
836,2
837,2
838,3
839,2
840,2
841,2
600,3
842,2
601,2
843,2
602,2
844,3
603,2
845,2
604,5
846,2
605,2
847,2
606,2
848,2
607,4
849,2
608,2
609,2
850,2
851,2
610,2
852,2
611,2
853,2
612,2
854,2
613,2
855,2
614,2
856,2
615,2
857,2
616,4
858,2
617,2
859,2
618,3
619,4
860,2
861,2
620,3
862,2
621,4
863,2
622,3
864,2
623,2
865,2
624,2
866,2
625,2
867,3
626,2
868,2
627,2
869,2
628,2
629,2
870,2
871,2
630,4
872,2
631,3
873,2
632,2
874,2
633,3
875,2
634,2
876,2
635,2
877,2
636,2
878,2
637,2
879,3
638,2
639,2
880,2
881,2
640,2
882,2
641,5
883,3
400,2
642,2
884,3
401,4
643,2
885,2
402,3
644,4
886,3
403,2
645,4
887,2
404,2
646,4
888,2
405,3
647,4
889,2
406,7
648,2
407,3
649,3
408,2
409,6
890,3
891,2
650,2
892,2
651,2
893,2
410,2
652,3
894,2
411,3
653,2
895,3
412,3
654,2
896,2
413,4
655,2
897,2
414,5
656,3
898,2
415,5
657,2
899,2
416,2
658,2
417,2
659,2
418,2
419,2
660,2
661,2
420,4
662,3
421,2
663,4
422,2
664,3
423,3
665,3
424,5
666,3
425,4
667,2
426,4
668,3
427,7
669,3
428,3
429,4
670,3
671,2
430,2
672,2
431,3
673,2
432,2
674,2
433,3
675,2
434,4
676,4
435,2
677,4
436,2
678,2
437,5
679,2
438,7
439,2
680,2
681,3
440,2
682,2
441,3
683,2
200,5
442,2
684,2
201,5
443,3
685,3
202,3
444,2
686,2
203,2
445,2
687,2
204,7
446,2
688,2
205,4
447,3
689,2
206,6
448,6
207,7
449,2
208,7
209,5
690,2
691,2
450,3
692,2
451,4
693,2
210,6
452,3
694,2
211,2
453,3
695,2
212,2
454,4
696,2
213,6
455,4
697,2
214,2
456,3
698,2
215,11
457,2
699,2
216,11
458,6
217,5
459,2
218,2
219,3
460,2
461,4
220,3
462,2
221,6
463,3
222,7
464,2
223,3
465,2
224,5
466,3
225,4
467,3
226,4
468,4
227,3
469,2
228,5
229,4
470,7
471,2
230,5
472,2
231,6
473,2
232,2
474,7
233,3
475,5
234,5
476,3
235,3
477,4
236,6
478,3
237,5
479,3
238,3
239,5
480,2
481,2
240,4
482,2
241,6
483,2
242,4
484,4
243,2
485,3
244,6
486,4
245,5
487,7
246,5
488,3
247,2
489,6
248,7
249,4
490,4
491,2
250,5
492,3
251,5
493,4
252,3
494,5
253,4
495,3
254,9
496,3
255,4
497,2
256,6
498,2
257,2
499,2
258,3
259,3
260,7
261,2
262,4
263,5
264,6
265,5
266,3
267,5
268,5
269,3
270,2
271,6
272,2
273,5
274,3
275,4
276,7
277,3
278,2
279,6
280,3
281,2
282,4
283,2
284,4
285,3
286,7
287,7
288,3
289,3
290,2
291,2
292,3
293,3
294,2
295,3
296,2
297,6
298,5
299,5
900,2
901,2
902,2
903,2
904,3
905,2
906,2
907,4
908,3
909,2
910,2
911,3
912,2
913,3
914,3
915,2
916,2
917,2
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,2
935,3
936,2
937,2
938,2
939,2
940,2
941,2
700,4
942,2
701,2
943,2
702,3
944,2
703,3
945,2
704,2
946,2
705,3
947,2
706,2
948,2
707,2
949,2
708,3
709,2
950,2
951,2
710,4
952,2
711,3
953,2
712,2
954,2
713,2
955,2
714,3
956,2
715,2
957,2
716,2
958,2
717,2
959,3
718,2
719,2
960,2
961,2
720,2
962,2
721,2
963,2
722,5
964,2
723,3
965,2
724,2
966,2
725,2
967,2
726,3
968,2
727,2
969,2
728,4
729,2
970,2
971,3
730,2
972,2
731,2
973,2
732,2
974,2
733,4
975,2
734,2
976,2
735,2
977,2
736,3
978,2
737,3
979,2
738,2
739,4
980,2
981,2
740,2
982,2
741,2
983,2
500,3
742,2
984,2
501,3
743,4
985,2
502,3
744,2
986,2
503,7
745,4
987,2
504,4
746,2
988,2
505,4
747,3
989,2
506,4
748,2
507,4
749,3
508,6
509,2
990,2
991,2
750,2
992,2
751,3
993,2
510,3
752,2
994,2
511,2
753,2
995,2
512,4
754,2
996,2
513,3
755,2
997,2
514,2
756,2
998,2
515,2
757,2
999,2
516,2
758,3
517,2
759,3
518,3
519,3
760,2
761,3
520,3
762,5
521,2
763,2
522,5
764,3
523,2
765,2
524,2
766,2
525,2
767,4
526,2
768,2
527,3
769,2
528,3
529,5
770,3
771,4
530,2
772,2
531,2
773,2
532,3
774,4
533,2
775,3
534,3
776,2
535,2
777,2
536,5
778,2
537,3
779,2
538,3
539,2
780,2
781,4
540,3
782,2
541,3
783,3
300,3
542,2
784,2
301,10
543,4
785,2
302,3
544,4
786,2
303,3
545,2
787,2
304,5
546,3
788,3
305,7
547,3
789,2
306,3
548,2
307,3
549,2
308,2
309,2
790,2
791,2
550,4
792,3
551,3
793,2
310,8
552,2
794,2
311,2
553,3
795,3
312,2
554,2
796,3
313,4
555,2
797,3
314,3
556,3
798,2
315,5
557,2
799,3
316,11
558,3
317,2
559,2
318,4
319,4
560,5
561,3
320,3
562,3
321,3
563,4
322,2
564,2
323,8
565,2
324,4
566,2
325,3
567,2
326,2
568,2
327,3
569,2
328,5
329,5
570,2
571,3
330,2
572,3
331,9
573,2
332,7
574,3
333,5
575,2
334,2
576,3
335,3
577,3
336,5
578,3
337,4
579,2
338,4
339,4
580,2
581,2
340,3
582,2
341,2
583,2
100,4
342,3
584,3
101,17
343,2
585,3
102,10
344,4
586,3
103,3
345,6
587,3
104,3
346,5
588,2
105,10
347,2
589,3
106,2
348,2
107,7
349,2
108,9
109,5
590,3
591,2
350,3
592,2
351,2
593,2
110,3
352,3
594,3
111,4
353,2
595,3
112,10
354,4
596,2
113,2
355,2
597,3
114,3
356,3
598,2
115,7
357,4
599,3
116,5
358,4
117,15
359,3
118,5
119,7
10,7
11,19
12,26
13,18
14,11
15,40
16,7
17,10
18,6
19,19
360,4
